ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	strand	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	hsapiens_homolog_chromosome	hsapiens_homolog_chrom_start	hsapiens_homolog_chrom_end	hsapiens_homolog_orthology_type	hsapiens_homolog_orthology_confidence	hsapiens_homolog_perc_id	hsapiens_homolog_perc_id_r1	hsapiens_homolog_goc_score	hsapiens_homolog_wga_coverage
ENSMUSG00000001138	Cnnm3	1	36511867	36528237	1	ENSG00000168763	CNNM3	2	96816245	96835382	ortholog_one2one	1	85.6943	86.4215	100	100
ENSMUSG00000025779	Ly96	1	16688051	16709611	1	ENSG00000154589	LY96	8	73991392	74029079	ortholog_one2one	1	63.75	63.75	100	100
ENSMUSG00000025933	Tmem14a	1	21218575	21230167	1	ENSG00000096092	TMEM14A	6	52671113	52686588	ortholog_one2one	1	55.8621	81.8182	50	82.31
ENSMUSG00000025946	Pth2r	1	65282056	65389244	1	ENSG00000144407	PTH2R	2	208359714	208854503	ortholog_one2one	1	82.967	82.3636	100	100
ENSMUSG00000025952	Crygc	1	65071525	65073689	-1	ENSG00000163254	CRYGC	2	208128137	208129828	ortholog_one2one	1	84.5714	85.0575	100	100
ENSMUSG00000026003	Acadl	1	66830839	66863277	-1	ENSG00000115361	ACADL	2	210187126	210225447	ortholog_one2one	1	86.2791	86.2791	100	100
ENSMUSG00000026111	Unc50	1	37430139	37439124	1	ENSG00000115446	UNC50	2	98608579	98618515	ortholog_one2one	1	95.7529	89.8551	100	100
ENSMUSG00000026124	Cfc1	1	34535648	34544313	1	ENSG00000152093	CFC1B	2	130521197	130528604	ortholog_one2many	0	47.0297	42.6009	100	100
ENSMUSG00000026124	Cfc1	1	34535648	34544313	1	ENSG00000136698	CFC1	2	130592165	130599575	ortholog_one2many	0	47.0297	42.6009	0	100
ENSMUSG00000026135	Zfp142	1	74565127	74588246	-1	ENSG00000115568	ZNF142	2	218637916	218659655	ortholog_one2one	1	74.5524	81.4464	100	99.22
ENSMUSG00000026154	Sdhaf4	1	23995939	24005656	-1	ENSG00000154079	SDHAF4	6	70566917	70589569	ortholog_one2one	1	70.1923	67.5926	100	84.41
ENSMUSG00000026176	Ctdsp1	1	74391509	74397285	1	ENSG00000144579	CTDSP1	2	218398256	218405941	ortholog_one2one	1	98.8506	98.8506	100	100
ENSMUSG00000026205	Slc23a3	1	75125541	75133890	-1	ENSG00000213901	SLC23A3	2	219161465	219170095	ortholog_one2one	1	78.2324	77.3463	100	100
ENSMUSG00000026222	Sp100	1	85649988	85709998	1	ENSG00000079263	SP140	2	230203110	230313215	ortholog_one2one	0	28.4264	19.3772	100	4.16
ENSMUSG00000026227	2810459M11Rik	1	86045863	86055456	1	ENSG00000204128	C2orf72	2	231037523	231049719	ortholog_one2one	1	70.3833	68.4746	100	100
ENSMUSG00000026258	Snorc	1	87470271	87475482	1	ENSG00000182600	SNORC	2	232857270	232878708	ortholog_one2one	1	80.9917	80.9917	100	100
ENSMUSG00000026269	Rnpepl1	1	92910783	92924384	1	ENSG00000142327	RNPEPL1	2	240565804	240581372	ortholog_one2one	1	93.1944	92.5517	100	100
ENSMUSG00000026271	Gpr35	1	92950865	92986391	1	ENSG00000178623	GPR35	2	240605430	240631259	ortholog_one2one	1	72.6384	65.5882	75	100
ENSMUSG00000026277	Stk25	1	93619751	93658659	-1	ENSG00000115694	STK25	2	241492670	241509730	ortholog_one2one	1	98.8263	98.8263	100	100
ENSMUSG00000026348	Acmsd	1	127729413	127767978	1	ENSG00000153086	ACMSD	2	134838616	134902034	ortholog_one2one	1	87.2024	87.2024	100	100
ENSMUSG00000026355	Mcm6	1	128331590	128359664	-1	ENSG00000076003	MCM6	2	135839626	135876443	ortholog_one2one	1	95.8587	95.8587	100	100
ENSMUSG00000026405	C4bp	1	130634773	130661632	-1	ENSG00000123838	C4BPA	1	207104233	207144972	ortholog_one2one	0	52.2388	41.0385	50	91.06
ENSMUSG00000026420	Il24	1	130882074	130887454	-1	ENSG00000162892	IL24	1	206897443	206904139	ortholog_one2one	1	56.3636	59.9034	100	100
