human_gene_id	human_gene_name	rabbit_align_seq	rabbit_align_start	rabbit_align_end	rabbit_align_strand	rabbit_align_length
ENSG00000168763	CNNM3	2	94649038	94650288	-1	1251
ENSG00000168763	CNNM3	2	94649032	94650288	-1	1257
ENSG00000154589	LY96	3	89773280	89773402	1	123
ENSG00000154589	LY96	3	89773280	89773402	1	123
ENSG00000096092	TMEM14A	12	42241367	42241794	1	428
ENSG00000096092	TMEM14A	12	42241956	42242146	1	191
ENSG00000144407	PTH2R	7	149445637	149446402	1	766
ENSG00000144407	PTH2R	7	149445637	149446884	1	1248
ENSG00000163254	CRYGC	7	149022573	149022912	1	340
ENSG00000115361	ACADL	7	151012488	151012492	1	5
ENSG00000115361	ACADL	7	151012559	151013089	1	531
ENSG00000115361	ACADL	7	151013498	151014059	1	562
ENSG00000115446	UNC50	2	93551872	93552201	-1	330
ENSG00000115446	UNC50	2	93551872	93552201	-1	330
ENSG00000115446	UNC50	2	93551872	93552201	-1	330
ENSG00000115446	UNC50	2	93551872	93552221	-1	350
ENSG00000115446	UNC50	2	93551872	93552201	-1	330
ENSG00000152093	CFC1B	7	60051574	60051874	1	301
ENSG00000152093	CFC1B	7	60056747	60056898	1	152
ENSG00000152093	CFC1B	7	60051574	60051874	1	301
ENSG00000152093	CFC1B	7	60056747	60056898	1	152
ENSG00000152093	CFC1B	7	60051574	60051874	1	301
ENSG00000152093	CFC1B	7	60056747	60056897	1	151
ENSG00000136698	CFC1	7	60056747	60056901	-1	155
ENSG00000136698	CFC1	7	60051574	60051874	-1	301
ENSG00000136698	CFC1	7	60056747	60056898	-1	152
ENSG00000136698	CFC1	7	60051574	60051874	-1	301
ENSG00000136698	CFC1	7	60056747	60056898	-1	152
ENSG00000136698	CFC1	7	60051574	60051874	-1	301
ENSG00000115568	ZNF142	7	159915010	159915850	1	841
ENSG00000115568	ZNF142	7	159915015	159915850	1	836
ENSG00000115568	ZNF142	7	159926810	159926835	1	26
ENSG00000115568	ZNF142	7	159931253	159931366	1	114
ENSG00000115568	ZNF142	7	159931290	159931366	1	77
ENSG00000115568	ZNF142	7	159935963	159936241	1	279
ENSG00000115568	ZNF142	7	159936758	159936915	1	158
ENSG00000115568	ZNF142	7	159936758	159936915	1	158
ENSG00000154079	SDHAF4	12	57282289	57282555	1	267
ENSG00000154079	SDHAF4	12	57282609	57282708	1	100
ENSG00000144579	CTDSP1	7	159721706	159722112	1	407
ENSG00000144579	CTDSP1	7	159721706	159722955	1	1250
ENSG00000144579	CTDSP1	7	159721706	159721881	1	176
ENSG00000144579	CTDSP1	7	159721706	159721881	1	176
ENSG00000144579	CTDSP1	7	159720271	159720329	1	59
ENSG00000213901	SLC23A3	7	160418349	160418946	1	598
ENSG00000213901	SLC23A3	7	160418643	160418946	1	304
ENSG00000213901	SLC23A3	7	160418644	160418946	1	303
ENSG00000213901	SLC23A3	7	160421486	160421583	1	98
ENSG00000213901	SLC23A3	7	160421859	160422048	1	190
ENSG00000079263	SP140	7	172151655	172151743	-1	89
ENSG00000079263	SP140	7	172151655	172151743	-1	89
ENSG00000079263	SP140	7	172092503	172092656	1	154
ENSG00000079263	SP140	7	172092503	172092656	1	154
